Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
defina-knit-dress,,,,,,,,Color,Mole,Size,M,,,1314624OOL00M,453,shopify,1,deny,manual,71.20,178.00,TRUE,TRUE,,,,,,,,,g,,,
dulce-cashmere-v,Dulce Cashmere V,<p></p>,Homeboy Threads,,Sweatshirts,"private, designer-donated",TRUE,Color,Thunder,Size,M,,,1315963THU00M,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/E74B1D2C-0B80-44AB-A603-A652BDDF37A3.png?v=1762979595,1,Dulce Cashmere V,FALSE,Dulce Cashmere V | Homeboy Threads Resale | Homeboy Threads,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/E74B1D2C-0B80-44AB-A603-A652BDDF37A3.png?v=1762979595,g,,,active
dulce-cashmere-v,,,,,,,,Color,Thunder,Size,S,,,1315963THU00S,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/E74B1D2C-0B80-44AB-A603-A652BDDF37A3.png?v=1762979595,g,,,
dulce-cashmere-v,,,,,,,,Color,Thunder,Size,XS,,,1315963THU0XS,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/E74B1D2C-0B80-44AB-A603-A652BDDF37A3.png?v=1762979595,g,,,
dulce-cashmere-v,,,,,,,,Color,Toast,Size,S,,,1315963TOT00S,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,,g,,,
dulce-cashmere-v,,,,,,,,Color,Walnut,Size,S,,,1315963WNT00S,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,,g,,,
dulce-cashmere-v,,,,,,,,Color,Walnut,Size,XL,,,1315963WNT0XL,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,,g,,,
dulce-cashmere-v,,,,,,,,Color,Walnut,Size,XS,,,1315963WNT0XS,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,,g,,,
casey-vest,Casey Vest,<p></p>,Homeboy Threads,,Shirts,"private, designer-donated",TRUE,Color,Black,Size,S,,,1314283BLK00S,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/0E48C81D-A741-460B-B444-5C4795662EDB.png?v=1762978451,1,Casey Vest,FALSE,Casey Vest | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
casey-vest,,,,,,,,Color,Black,Size,XL,,,1314283BLK0XL,453,shopify,1,deny,manual,67.20,168.00,TRUE,TRUE,,,,,,,,,g,,,
dawson-regenerative-wool-cable-sweater,Dawson Regenerative Wool Cable Sweater,<p></p>,Homeboy Threads,,Sweatshirts,"private, designer-donated",TRUE,Color,Arctic,Size,L,,,1316327RCT00L,453,shopify,1,deny,manual,79.20,198.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/3C7EC715-D3EA-42C4-A15C-51568BFE50A2.png?v=1762978377,1,Dawson Regenerative Wool Cable Sweater,FALSE,Dawson Regenerative Wool Cable Sweater | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
dawson-regenerative-wool-cable-sweater,,,,,,,,Color,Arctic,Size,XL,,,1316327RCT0XL,453,shopify,1,deny,manual,79.20,198.00,TRUE,TRUE,,,,,,,,,g,,,
stacia-satin-skirt,Stacia Satin Skirt,<p></p>,Homeboy Threads,,Skirts,"private, designer-donated",TRUE,Color,Black,Size,0,,,1316796BLK000,453,shopify,1,deny,manual,99.20,248.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/FFFACC43-3972-4532-BB75-49AC6AF7B711.png?v=1762978306,1,Stacia Satin Skirt,FALSE,Stacia Satin Skirt | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
stacia-satin-skirt,,,,,,,,Color,Black,Size,2,,,1316796BLK002,453,shopify,1,deny,manual,99.20,248.00,TRUE,TRUE,,,,,,,,,g,,,
stacia-satin-skirt,,,,,,,,Color,Black,Size,8,,,1316796BLK008,453,shopify,1,deny,manual,99.20,248.00,TRUE,TRUE,,,,,,,,,g,,,
stacia-satin-skirt,,,,,,,,Color,Black,Size,12,,,1316796BLK012,453,shopify,1,deny,manual,99.20,248.00,TRUE,TRUE,,,,,,,,,g,,,
